actor_id,actor_name,role,movie_id,imdb_id,movie_name,nett_gross,verdict
2,Akshay Kumar,Actor,3052,tt0290940,Zaalim,31750000.0,Average
2,Akshay Kumar,Actor,3061,tt0292742,Zakhmi Dil,8175000.0,Flop
2,Akshay Kumar,Actor,3034,tt0111308,Suhaag,70900000.0,Hit
2,Akshay Kumar,Actor,3065,tt0110105,Ikke Pe Ikka,7875000.0,Disaster
2,Akshay Kumar,Actor,3072,tt0109091,Amaanat,30850000.0,Flop
2,Akshay Kumar,Actor,3074,tt0110438,Main Khiladi Tu Anari,78825000.0,Hit
2,Akshay Kumar,Actor,3102,tt0110546,Mohra,120125000.0,Blockbuster
2,Akshay Kumar,Actor,3109,tt0110177,Jai Kishen,24475000.0,Below Average
2,Akshay Kumar,Actor,3138,tt0111793,Yeh Dillagi,57200000.0,Hit
2,Akshay Kumar,Actor,3182,tt0290183,Elaan,46100000.0,Hit
2,Akshay Kumar,Actor,3341,tt0290429,Ashaant,14525000.0,Flop
2,Akshay Kumar,Actor,3855,,Sainik,,
2,Akshay Kumar,Actor,3898,,Waqt Hamara Hai,,
2,Akshay Kumar,Actor,3904,,Kayda Kanoon,,
2,Akshay Kumar,Actor,3916,,Dil Ki Baazi,,
2,Akshay Kumar,Actor,5865,,Deedar,,
2,Akshay Kumar,Actor,5903,,Khiladi,,
2,Akshay Kumar,Actor,5915,,Mr. Bond,,
2,Akshay Kumar,Actor,5993,,Dancer,,
2,Akshay Kumar,Actor,6080,,Saugandh,,
3,Sunny Deol,Actor,5655,tt9052936,Blank,50050000.0,Disaster
3,Sunny Deol,Actor,5556,tt2150177,Bhaiaji Superhittt,44825000.0,Disaster
3,Sunny Deol,Actor,5548,,Mohalla Assi,25700000.0,Disaster
3,Sunny Deol,Actor,3827,tt7609114,Yamla Pagla Deewana Phir Se...,95175000.0,Disaster
3,Sunny Deol,Actor,3593,tt6352548,Poster Boys,116475000.0,Flop
3,Sunny Deol,Actor,3214,tt4683366,Ghayal Once Again,268450000.0,Flop
3,Sunny Deol,Actor,2897,tt2708644,I Love NY,11995000.0,Disaster
3,Sunny Deol,Actor,2214,tt3539966,Dishkiyaoon,45800000.0,Disaster
3,Sunny Deol,Actor,1813,tt2437954,Singh Saab The Great,211600000.0,Flop
3,Sunny Deol,Actor,1281,tt2510874,Yamla Pagla Deewana 2,307700000.0,Flop
3,Sunny Deol,Actor,35,tt1773109,Yamla Pagla Deewana,549375000.0,Hit
3,Sunny Deol,Actor,133,tt1920986,Khuda Kasam,7600000.0,Disaster
3,Sunny Deol,Actor,116,tt1191130,Right Yaa Wrong,25725000.0,Disaster
3,Sunny Deol,Actor,166,tt1324076,Fox,28650000.0,Disaster
3,Sunny Deol,Actor,249,tt0886505,Kaafila,24675000.0,Disaster
3,Sunny Deol,Actor,227,tt0814014,Apne,220650000.0,Average
3,Sunny Deol,Actor,345,tt0493417,Fool N Final,178225000.0,Flop
3,Sunny Deol,Actor,1472,tt0476762,Big Brother,49400000.0,Disaster
3,Sunny Deol,Actor,305,tt0813540,Naksha,66100000.0,Disaster
3,Sunny Deol,Actor,1599,tt0779768,Teesri Aankh - The Hidden Camera,41550000.0,Disaster
3,Sunny Deol,Actor,409,tt0436451,Jo Bole So Nihaal,82150000.0,Disaster
3,Sunny Deol,Actor,1772,tt0423087,Rok Sako To Rok Lo,14950000.0,Disaster
3,Sunny Deol,Actor,473,,Lakeer,47950000.0,Disaster
3,Sunny Deol,Actor,530,tt0371775,Khel,69850000.0,Flop
3,Sunny Deol,Actor,525,tt0340178,Jaal - The Trap,71000000.0,Flop
3,Sunny Deol,Actor,509,tt0347167,The Hero - Love Story of a Spy,262250000.0,Below Average
3,Sunny Deol,Actor,607,tt0342624,Karz - The Burden of Truth,86950000.0,Flop
3,Sunny Deol,Actor,604,tt0326983,Jaani Dushman - Ek Anokhi Kahani,107250000.0,Flop
3,Sunny Deol,Actor,611,tt0324951,23rd March 1931 Shaheed,76000000.0,Disaster
3,Sunny Deol,Actor,598,tt0307116,Maa Tujhhe Salaam,133150000.0,Below Average
3,Sunny Deol,Actor,660,tt0300028,Indian,242150000.0,Hit
3,Sunny Deol,Actor,691,tt0317811,Kasam,12850000.0,Flop
3,Sunny Deol,Actor,657,tt0284137,Gadar - Ek Prem Katha,768800000.0,All Time Blockbuster
3,Sunny Deol,Actor,669,tt0272607,Farz,112650000.0,Below Average
3,Sunny Deol,Actor,736,tt0270880,Champion,84050000.0,Flop
3,Sunny Deol,Actor,2341,tt0225515,Dillagi,105050000.0,Flop
3,Sunny Deol,Actor,2394,tt0209263,Pyaar Koi Khel Nahin,68000000.0,Flop
3,Sunny Deol,Actor,2575,tt0286936,Salaakhen,93400000.0,Flop
3,Sunny Deol,Actor,2595,tt0264210,Zor,105600000.0,Flop
3,Sunny Deol,Actor,2624,tt0251356,Qahar,61000000.0,Average
3,Sunny Deol,Actor,2678,tt0118751,Border,394550000.0,All Time Blockbuster
3,Sunny Deol,Actor,2693,tt0120551,Ziddi,183850000.0,Super Hit
3,Sunny Deol,Actor,2726,tt0267252,Ajay,91800000.0,Average
3,Sunny Deol,Actor,2739,,Ghatak,152350000.0,Super Hit
3,Sunny Deol,Actor,2769,tt0116690,Jeet,161300000.0,Super Hit
3,Sunny Deol,Actor,2832,,Dushmani,41125000.0,Flop
3,Sunny Deol,Actor,2837,tt0319500,Himmat,48175000.0,Flop
3,Sunny Deol,Actor,2911,tt0204823,Angrakshak,56450000.0,Flop
3,Sunny Deol,Actor,3166,tt0121395,Imtihan,30875000.0,Flop
3,Sunny Deol,Actor,3165,tt0110140,Insaniyat,57575000.0,Flop
3,Sunny Deol,Actor,3320,tt0109555,Darr,107375000.0,Blockbuster
3,Sunny Deol,Actor,3843,,Gunaah,,
3,Sunny Deol,Actor,3856,,Veerta,,
3,Sunny Deol,Actor,3865,,Izzat Ki Roti,,
3,Sunny Deol,Actor,3917,,Damini,,
3,Sunny Deol,Actor,3931,,Lootere,,
3,Sunny Deol,Actor,3934,,Kshatriya,,
3,Sunny Deol,Actor,5940,,Vishwatma,,
3,Sunny Deol,Actor,5987,,Shankara,,
3,Sunny Deol,Actor,6015,,Narsimha,,
3,Sunny Deol,Actor,6070,,Yodha,,
3,Sunny Deol,Actor,6073,,Vishnu Devaa,,
3,Sunny Deol,Producer,2341,tt0225515,Dillagi,105050000.0,Flop
3,Sunny Deol,Director,5711,tt6978954,Pal Pal Dil Ke Paas,69125000.0,Disaster
3,Sunny Deol,Director,3214,tt4683366,Ghayal Once Again,268450000.0,Flop
3,Sunny Deol,Director,2341,tt0225515,Dillagi,105050000.0,Flop
4,Shahrukh Khan,Actor,5561,tt6527426,Zero,887450000.0,Flop
4,Shahrukh Khan,Actor,3577,tt5997666,Jab Harry Met Sejal,620050000.0,Flop
4,Shahrukh Khan,Actor,3460,tt3405236,Raees,1287750000.0,Semi Hit
4,Shahrukh Khan,Actor,3430,tt5946128,Dear Zindagi,664675000.0,Semi Hit
4,Shahrukh Khan,Actor,3261,tt3495026,Fan,840325000.0,Flop
4,Shahrukh Khan,Actor,3194,tt4535650,Dilwale,1399750000.0,Semi Hit
4,Shahrukh Khan,Actor,2344,tt2461132,Happy New Year,1784100000.0,Super Hit
4,Shahrukh Khan,Actor,1304,tt2112124,Chennai Express,2076900000.0,Blockbuster
4,Shahrukh Khan,Actor,1177,tt2176013,Jab Tak Hai Jaan,1015900000.0,Hit
4,Shahrukh Khan,Actor,29,tt1285241,Don 2,1064400000.0,Hit
4,Shahrukh Khan,Actor,28,tt1562871,Ra.One,1139475000.0,Hit
4,Shahrukh Khan,Actor,96,tt1188996,My Name Is Khan,728250000.0,Hit
4,Shahrukh Khan,Actor,151,tt1230448,Billu,229150000.0,Flop
4,Shahrukh Khan,Actor,313,tt1182937,Rab Ne Bana Di Jodi,846800000.0,Blockbuster
4,Shahrukh Khan,Actor,266,tt1024943,Om Shanti Om,781650000.0,Blockbuster
4,Shahrukh Khan,Actor,234,tt0871510,Chak De India,665400000.0,Super Hit
4,Shahrukh Khan,Actor,292,,Don - The Chase Begins Again,503450000.0,Hit
4,Shahrukh Khan,Actor,364,tt0449999,Kabhi Alvida Na Kehna,444050000.0,Semi Hit
4,Shahrukh Khan,Actor,406,tt0451850,Paheli,128450000.0,Below Average
4,Shahrukh Khan,Actor,460,tt0367110,Swades,163100000.0,Flop
4,Shahrukh Khan,Actor,451,tt0420332,Veer Zaara,418600000.0,Super Hit
4,Shahrukh Khan,Actor,452,tt0347473,Main Hoon Na,362000000.0,Hit
4,Shahrukh Khan,Actor,480,tt0385351,Yeh Lamhe Judaai Ke,5700000.0,Disaster
4,Shahrukh Khan,Actor,508,tt0347304,Kal Ho Naa Ho,385500000.0,Hit
4,Shahrukh Khan,Actor,515,tt0346723,Chalte Chalte,194400000.0,Hit
4,Shahrukh Khan,Actor,591,tt0238936,Devdas,416550000.0,Hit
4,Shahrukh Khan,Actor,596,tt0222024,Hum Tumhare Hain Sanam,135200000.0,Average
4,Shahrukh Khan,Actor,658,tt0248126,Kabhi Khushi Kabhie Gham...,556500000.0,Blockbuster
4,Shahrukh Khan,Actor,672,tt0249371,Asoka,115400000.0,Flop
4,Shahrukh Khan,Actor,678,tt0227194,One 2 Ka 4,66350000.0,Disaster
4,Shahrukh Khan,Actor,712,tt0213890,Mohabbatein,418800000.0,Blockbuster
4,Shahrukh Khan,Actor,710,tt0151150,Josh,178300000.0,Average
4,Shahrukh Khan,Actor,740,tt0222012,Hey Ram,53200000.0,Flop
4,Shahrukh Khan,Actor,725,tt0222270,Phir Bhi Dil Hai Hindustani,107450000.0,Flop
4,Shahrukh Khan,Actor,2384,tt0211934,Baadshah,148700000.0,Average
4,Shahrukh Khan,Actor,2514,tt0172684,Kuch Kuch Hota Hai,468650000.0,All Time Blockbuster
4,Shahrukh Khan,Actor,2540,tt0164538,Dil Se,107650000.0,Flop
4,Shahrukh Khan,Actor,2571,tt0164550,Duplicate,101700000.0,Flop
4,Shahrukh Khan,Actor,2635,tt0118983,Dil To Pagal Hai,349700000.0,Blockbuster
4,Shahrukh Khan,Actor,2660,tt0119861,Pardes,228300000.0,Super Hit
4,Shahrukh Khan,Actor,2670,tt0120540,Yes Boss,113300000.0,Hit
4,Shahrukh Khan,Actor,2690,tt0136352,Koyla,148800000.0,Average
4,Shahrukh Khan,Actor,2789,tt0115568,Army,65850000.0,Average
4,Shahrukh Khan,Actor,2791,tt0172234,Chaahat,68700000.0,Below Average
4,Shahrukh Khan,Actor,2829,tt0136153,English Babu Desi Mem,37800000.0,Flop
4,Shahrukh Khan,Actor,2900,tt0114726,Trimurti,85750000.0,Flop
4,Shahrukh Khan,Actor,2915,tt0114231,Ram Jaane,86075000.0,Hit
4,Shahrukh Khan,Actor,3036,tt0112870,Dilwale Dulhania Le Jayenge,533125000.0,All Time Blockbuster
4,Shahrukh Khan,Actor,2942,tt0172519,Guddu,25450000.0,Flop
4,Shahrukh Khan,Actor,2951,tt0114031,Oh Darling Yeh Hai India,17775000.0,Disaster
4,Shahrukh Khan,Actor,2954,tt0115042,Zamaana Deewana,46700000.0,Flop
4,Shahrukh Khan,Actor,3032,tt0113526,Karan Arjun,252850000.0,Blockbuster
4,Shahrukh Khan,Actor,3142,tt0109134,Anjaam,49850000.0,Average
4,Shahrukh Khan,Actor,3169,tt0110222,Kabhi Haan Kabhi Naa,38750000.0,Semi Hit
4,Shahrukh Khan,Actor,3320,tt0109555,Darr,107375000.0,Blockbuster
4,Shahrukh Khan,Actor,3832,,Baazigar,,
4,Shahrukh Khan,Actor,5826,,Maya Memsaab,,
4,Shahrukh Khan,Actor,3948,,King Uncle,,
4,Shahrukh Khan,Actor,3955,,Dil Aashna Hai,,
