movie_id,name,release_date,release_year,imdb_id
263,Taare Zameen Par,2007-12-21,2007,tt0986264
264,Victoria No. 203,2007-08-31,2007,
265,Welcome,2007-12-21,2007,tt0488798
266,Om Shanti Om,2007-11-09,2007,tt1024943
267,36 China Town,2006-05-05,2006,tt0477252
268,Aap Ki Khatir,2006-08-25,2006,tt0810058
269,Kuch Khatti Kuch Meethi,2001-01-19,2001,tt0271604
270,Ahista Ahista,2006-08-18,2006,tt0831840
271,Aksar,2006-02-03,2006,tt0476729
272,Ankahee,2006-05-19,2006,tt0495022
273,Anthony Kaun Hai?,2006-08-04,2006,tt0800981
274,Apaharan,2005-12-02,2005,tt0451631
275,Apna Sapna Money Money,2006-11-10,2006,tt0493437
276,Aryan,2006-12-15,2006,
277,Alag,2006-06-16,2006,
278,Aatma,2006-05-19,2006,
279,Baabul,2006-12-08,2006,tt0419468
280,Banaras - A Mystic Love Story,2006-04-07,2006,
281,Being Cyrus,2006-03-24,2006,tt0412308
282,Bhoot Unkle,2006-10-13,2006,tt0897413
283,Bluffmaster,2005-12-16,2005,tt0476527
284,Bhagam Bhag,2006-12-22,2006,tt0805184
285,Chup Chup Ke,2006-06-09,2006,tt0464160
286,Chingaari,2006-02-17,2006,tt0454429
287,Corporate,2006-07-07,2006,tt0488381
288,Darna Zaroori Hai,2006-04-28,2006,tt0476649
289,Darwaza Bandh Rakho,2006-08-04,2006,tt0471646
290,Kyaa Super Kool Hain Hum,2012-07-27,2012,tt2027138
291,Dil Diya Hai,2006-09-08,2006,tt0814082
292,Don - The Chase Begins Again,2006-10-20,2006,
293,Dosti - Friends Forever,2005-12-23,2005,tt0449228
294,Dor,2006-09-22,2006,tt0824316
295,Ek Ajnabee,2005-12-09,2005,tt0457875
296,Family - Ties of Blood,2006-01-13,2006,tt0437182
297,Fanaa,2006-05-26,2006,tt0439662
298,Fight Club,2006-02-17,2006,
299,Golmaal - Fun Unlimited,2006-07-14,2006,tt0495034
300,Holiday,2006-02-10,2006,tt0461062
301,Home Delivery,2005-12-02,2005,
302,I See You,2006-12-29,2006,tt0857381
303,Lage Raho Munnabhai,2006-09-01,2006,tt0456144
304,The Mistress Of Spices,2006-04-28,2006,
305,Naksha,2006-09-08,2006,tt0813540
306,Omkara,2006-07-28,2006,tt0488414
307,Krodh,2000-03-17,2000,tt0311413
308,Pyare Mohan,2006-04-14,2006,tt0461323
309,Ghajini,2008-12-25,2008,tt1166100
310,God Tussi Great Ho,2008-08-15,2008,tt0476550
311,Golmaal Returns,2008-10-29,2008,tt1092005
312,Rock On!!,2008-08-29,2008,tt1230165
313,Rab Ne Bana Di Jodi,2008-12-12,2008,tt1182937
314,Nautanki Saala,2013-04-12,2013,tt2341766
315,Jimmy,2008-05-09,2008,tt1228707
316,Jannat,2008-05-16,2008,
317,Jaane Tu... Ya Jaane Na,2008-07-04,2008,
318,De Taali,2008-06-20,2008,tt1024839
319,Drona,2008-10-02,2008,tt1060249
320,Dostana,2008-11-14,2008,tt1185420
321,Dil Kabaddi,2008-12-05,2008,tt1218345
322,Fashion,2008-10-29,2008,tt0964516
323,Bachna Ae Haseeno,2008-08-15,2008,tt1182972
324,Krazzy 4,2008-04-11,2008,tt1182908
325,Kidnap,2008-10-02,2008,
326,Mr. White Mr. Black,2008-05-02,2008,
327,Mere Baap Pehle Aap,2008-06-13,2008,tt1170404
328,Money Hai Toh Honey Hai,2008-07-25,2008,tt1126516
329,Mission Istaanbul,2008-07-25,2008,
330,Mumbai Meri Jaan,2008-08-22,2008,tt1266583
331,Maan Gaye Mughall-E-Azam,2008-08-22,2008,tt1132595
332,U Me Aur Hum,2008-04-11,2008,tt1039995
333,Yuvvraaj,2008-11-21,2008,tt1105747
334,Hello,2008-10-10,2008,tt1087856
335,Heroes,2008-10-24,2008,tt1114725
336,A Wednesday!,2008-09-06,2008,
337,1920,2008-09-12,2008,tt1301698
338,Oye Lucky! Lucky Oye!,2008-11-28,2008,tt1292703
339,Mehbooba,2008-07-11,2008,
340,Deewane,2000-08-11,2000,tt0255097
341,Ta Ra Rum Pum,2007-04-27,2007,tt0833553
342,Jhoom Barabar Jhoom,2007-06-15,2007,tt0833476
343,Salaam-E-Ishq,2007-01-26,2007,tt0485272
344,Laaga Chunari Mein Daag,2007-10-12,2007,
345,Fool N Final,2007-06-01,2007,tt0493417
346,Eklavya - The Royal Guard,2007-02-16,2007,
347,Cheeni Kum,2007-05-25,2007,tt0976026
348,Life In A Metro,2007-05-11,2007,tt0800956
349,Honeymoon Travels Pvt. Ltd.,2007-02-23,2007,tt0808306
350,Ram Gopal Varma Ki Aag,2007-08-31,2007,tt0473310
351,Kudiyon Ka Hai Zamana,2007-01-05,2007,tt0857385
352,Risk,2007-01-19,2007,tt0845529
353,Nehlle Pe Dehlla,2007-03-02,2007,tt0476819
354,Red - The Dark Side,2007-03-09,2007,tt0896968
355,1971,2007-03-09,2007,tt0983990
356,Water,2007-03-09,2007,
357,Hattrick,2007-03-16,2007,tt0979891
359,Provoked,2006-04-07,2006,
