imdb_id,title,year,rating,votes
tt4885010,Izzat Aabroo,2005,-,-
tt0400617,Mafia,1996,5.0,59
tt2679274,Kamsin,1992,-,-
tt1450700,Arjun V/S Destiny,2009,-,-
tt4865436,Hate Story 3,2015,4.5,"2,996"
tt8302394,Shehjar,2019,-,-
tt3760836,Arjun Dada,1993,-,-
tt4411828,Mere Meharban,1992,-,-
tt9450228,Muqabla,1941,-,-
tt1451797,Rann,2010,6.9,"2,449"
tt0243396,Maan Gaye Ustaad,1981,6.0,16
tt0085776,Katha,1983,7.8,"1,088"
tt2188805,Login,2012,6.1,99
tt1270768,Ishq Ho Gaya Mamu,2008,-,-
tt7634598,Task,,-,-
tt0237022,Balika Badhu,1976,7.0,221
tt0454435,'D',2005,6.8,"1,181"
tt0307866,Filhaal...,2002,5.5,241
tt6175228,Hum Panchi Ek Daal Ke,2003,5.1,14
-,Raksha Bandhan,2021,-,-
tt10137078,VEERAPPATHAKKAM,1994,-,-
tt0430647,Sun Sajna,1982,6.3,21
tt0451851,Pak Daman,1940,-,-
tt12747740,The Life Kung-Fu,2012,-,-
tt0147973,Chanda Aur Bijli,1969,4.8,16
tt0154743,Kokila,1937,-,-
tt0062918,Duniya,1968,7.1,60
tt0156092,Sohag,1940,-,-
tt0222024,Hum Tumhare Hain Sanam,2002,5.4,"6,508"
tt0376768,Mohabbat Ki Kasam,1986,5.8,12
tt3429824,Mundu,1983,-,-
tt4335954,My Birthday Song,2018,5.5,254
tt4332804,The Power of Woman: Tezaab,2004,-,-
tt0273527,Dharti Mata,1938,-,-
tt1592735,Chath: A Roof Without Walls,2007,-,-
tt4709524,Rani Chandravati,1968,-,-
tt0215905,Kirti,1942,-,-
tt4525976,Naag Laxmi: The Protector,2001,-,-
tt0371922,Saaya,2003,5.8,899
tt0377452,Bansaria,1949,-,-
tt0395702,Parbat Ke Us Paar,1988,4.6,5
tt0046741,Baghdad,1952,6.5,11
tt2006247,Taqdeer Ka Sikander,2002,5.8,6
tt0391799,Bhagwat Mahima,1955,-,-
tt0378121,Jadni Bansari,1948,-,-
tt2726950,Damad Chahiye,1985,-,-
tt4201922,My Dear Nancy,2000,-,-
tt5005142,Dhara 302,2016,4.4,16
tt0214707,Gautam Govinda,1979,6.1,57
tt1191138,Thoda Pyaar Thoda Magic,2008,4.9,"2,355"
tt3657368,Aakhri Mohabbat,1994,-,-
tt2761592,Mohabbat Aur Jung,1967,-,-
tt0155548,Bhedi Bungla,1949,-,-
tt3429820,Hanuman Chalisa,1969,-,-
-,Taabeer,,-,-
tt0358950,Asli Naqli,1986,4.3,38
tt0364050,Touhean,1989,7.8,5
-,A Separate Sky,2021,-,-
-,Antardhwani,,-,-
tt0121232,Dulaara,1994,4.7,255
tt1941638,Sadda Adda,2012,7.1,"1,332"
tt3462486,Hukum ka ekka,1964,-,-
tt13399848,The Love Style,2021,-,-
tt0093604,Nazrana,1987,6.2,86
tt8484614,Bhootwali Love Story,2018,-,-
tt0158071,Pasand Apni Apni,1983,6.9,81
tt13156174,Faasle,2020,-,-
tt0233146,Asmaan Se Ooncha,1989,5.0,53
tt0347416,LOC: Kargil,2003,5.2,"2,551"
tt0109010,1942: A Love Story,1994,7.2,"3,191"
tt0368079,Nishaan,1983,6.2,42
tt8223250,Bioscopewala,2017,7.6,863
-,Siddhart (The Journey),,-,-
tt0371908,Raja Saab,1969,6.3,36
tt3720224,Hastak,1993,-,-
tt0281102,Pyaar Tune Kya Kiya...,2001,5.7,804
tt0231460,Dil-E-Nadan,1953,6.3,9
tt3949354,Rifle Girl,1958,-,-
tt0139143,Dana Paani,1953,-,-
tt0067403,Maryada,1971,7.0,58
tt6494578,Zeenat,2018,-,-
tt0067183,Haré Rama Haré Krishna,1971,7.3,764
tt5572908,Dare You,2016,-,-
tt0269811,Sabse Bada Rupaiya,1955,-,-
tt0283417,Jaan-E-Bahaar,1979,6.4,7
